Cell Name,Cluster,sf_cluster,ruoyi_cluster
F1_P1_M34,CD8_B,9,CD8_B
F1_P2_M34,CD8_B,11,CD8_B
F1_P3_M34,CD8_B,11,CD8_B
F2_P1_M34,CD8_B,9,CD8_B
F2_P2_M34,CD8_B,6,CD8_B
F2_P3_M34,CD8_B,11,CD8_B
F2_P4_M34,CD8_G,9,NA
F3_P4_M34,CD8_B,9,CD8_B
F4_P1_M34,CD8_B,11,CD8_B
F4_P3_M34,CD8_G,5,CD8_G
F5_P1_M34,CD8_B,9,CD8_B
F6_P1_M34,CD8_B,9,CD8_B
F6_P2_M34,CD8_G,10,CD8_G
F6_P3_M34,CD8_B,9,CD8_B
F7_P1_M34,CD8_B,6,CD8_B
F7_P2_M34,CD8_G,9,CD8_G
F7_P4_M34,CD8_B,11,CD8_B
F9_P1_M34,CD8_B,9,CD8_B
G10_P2_M34,CD8_G,8,CD8_G
G10_P3_M34,CD8_B,6,CD8_B
G10_P4_M34,CD8_G,8,CD8_G
G11_P1_M34,CD8_B,9,CD8_B
G11_P3_M34,CD8_B,9,NA
G11_P4_M34,CD8_B,6,NA
G12_P1_M34,CD8_B,9,CD8_B
G12_P2_M34,CD8_B,9,CD8_B
G12_P3_M34,CD8_B,9,CD8_B
G12_P4_M34,CD8_B,11,CD8_B
G1_P2_M34,CD8_B,11,CD8_B
G2_P1_M34,CD8_G,5,CD8_G
G4_P1_M34,CD8_B,6,NA
G4_P3_M34,CD8_B,9,CD8_B
G5_P3_M34,CD8_G,5,CD8_G
G5_P4_M34,CD8_B,9,NA
G6_P1_M34,CD8_B,9,CD8_B
G7_P1_M34,CD8_B,6,CD8_B
G8_P1_M34,CD8_B,9,CD8_B
G8_P2_M34,CD8_B,6,CD8_B
G8_P3_M34,CD8_B,11,CD8_B
G9_P3_M34,CD8_B,9,CD8_B
H10_P1_M34,CD8_G,9,CD8_G
H10_P2_M34,CD8_G,8,CD8_G
H11_P3_M34,CD8_B,6,CD8_B
H11_P4_M34,CD8_B,6,CD8_B
H12_P3_M34,CD8_B,9,CD8_B
H12_P4_M34,CD8_B,6,CD8_B
H1_P3_M34,CD8_B,9,CD8_B
H3_P1_M34,CD8_B,6,CD8_B
H4_P3_M34,CD8_B,9,NA
H4_P4_M34,CD8_B,6,NA
H5_P1_M34,CD8_B,9,CD8_B
H5_P2_M34,CD8_B,11,CD8_B
H5_P4_M34,CD8_B,9,CD8_B
H6_P1_M34,CD8_B,9,CD8_B
H6_P2_M34,CD8_B,7,CD8_B
H6_P4_M34,CD8_B,6,CD8_B
H7_P2_M34,CD8_B,6,NA
H7_P3_M34,CD8_B,9,CD8_B
H7_P4_M34,CD8_B,9,CD8_B
H8_P1_M34,CD8_G,9,CD8_G
H8_P3_M34,CD8_B,9,CD8_B
H8_P4_M34,CD8_G,5,CD8_G
H9_P1_M34,CD8_B,6,CD8_B
H9_P2_M34,CD8_B,9,CD8_B
H9_P3_M34,CD8_B,6,NA
H9_P4_M34,CD8_G,9,NA
A10_P1_M39,CD8_B,9,CD8_B
A10_P2_M39,CD8_B,9,CD8_B
A11_P1_M39,CD8_B,9,CD8_B
A11_P4_M39,CD8_G,8,NA
A12_P1_M39,CD8_B,11,CD8_B
A12_P3_M39,CD8_G,5,CD8_G
A2_P1_M39,CD8_B,9,CD8_B
A2_P2_M39,CD8_G,10,CD8_G
A2_P3_M39,CD8_B,11,CD8_B
A3_P1_M39,CD8_B,9,CD8_B
A3_P4_M39,CD8_B,11,CD8_B
A4_P2_M39,CD8_B,6,CD8_B
A5_P4_M39,CD8_B,6,CD8_B
A6_P1_M39,CD8_B,9,CD8_B
A7_P2_M39,CD8_G,8,NA
A7_P3_M39,CD8_B,8,CD8_B
A8_P4_M39,CD8_G,8,CD8_G
A9_P4_M39,CD8_B,6,CD8_B
B12_P2_M39,CD8_B,9,CD8_B
B1_P1_M39,CD8_B,9,CD8_B
B1_P3_M39,CD8_G,5,CD8_G
B1_P4_M39,CD8_B,9,CD8_B
B2_P4_M39,CD8_G,9,CD8_G
B3_P3_M39,CD8_B,9,CD8_B
B4_P1_M39,CD8_G,9,NA
B5_P1_M39,CD8_G,5,CD8_G
B5_P3_M39,CD8_G,8,CD8_G
B5_P4_M39,CD8_B,9,CD8_B
B6_P3_M39,CD8_B,9,CD8_B
B6_P4_M39,CD8_B,9,CD8_B
B7_P1_M39,CD8_B,6,CD8_B
B7_P2_M39,CD8_G,8,CD8_G
B7_P3_M39,CD8_B,6,CD8_B
B7_P4_M39,CD8_G,10,CD8_G
B8_P3_M39,CD8_G,9,NA
B9_P4_M39,CD8_B,8,CD8_B
C10_P4_M39,CD8_G,9,CD8_G
C11_P3_M39,CD8_G,8,CD8_G
C12_P2_M39,CD8_B,9,CD8_B
C12_P3_M39,CD8_B,6,NA
C12_P4_M39,CD8_G,9,NA
C1_P1_M39,CD8_B,9,CD8_B
C1_P2_M39,CD8_G,5,CD8_G
C2_P1_M39,CD8_G,5,CD8_G
C3_P1_M39,CD8_G,8,CD8_G
C3_P2_M39,CD8_G,5,NA
C4_P4_M39,CD8_G,8,NA
C5_P4_M39,CD8_G,5,CD8_G
C7_P1_M39,CD8_B,11,CD8_B
C8_P1_M39,CD8_G,5,NA
C8_P2_M39,CD8_B,6,CD8_B
C8_P4_M39,CD8_B,9,CD8_B
C9_P1_M39,CD8_B,9,CD8_B
C9_P4_M39,CD8_B,9,CD8_B
D10_P1_M39,CD8_B,6,CD8_B
D10_P4_M39,CD8_G,9,CD8_G
D12_P1_M39,CD8_G,8,CD8_G
D12_P2_M39,CD8_G,5,CD8_G
D12_P3_M39,CD8_B,11,CD8_B
D1_P2_M39,CD8_G,5,CD8_G
D1_P4_M39,CD8_B,6,CD8_B
D2_P1_M39,CD8_B,6,CD8_B
D3_P1_M39,CD8_G,5,NA
D4_P4_M39,CD8_B,6,CD8_B
D5_P3_M39,CD8_G,8,CD8_G
D6_P2_M39,CD8_B,6,CD8_B
D6_P3_M39,CD8_B,2,NA
D7_P1_M39,CD8_B,6,CD8_B
D7_P2_M39,CD8_B,9,CD8_B
D8_P1_M39,CD8_B,9,CD8_B
D8_P3_M39,CD8_B,6,CD8_B
D9_P2_M39,CD8_B,9,CD8_B
E10_P1_M39,CD8_G,9,NA
E10_P2_M39,CD8_G,5,CD8_G
E10_P3_M39,CD8_G,9,CD8_G
E10_P4_M39,CD8_B,6,CD8_B
E11_P1_M39,CD8_B,6,CD8_B
E11_P3_M39,CD8_B,11,CD8_B
E12_P3_M39,CD8_B,6,CD8_B
E1_P1_M39,CD8_B,9,CD8_B
E1_P4_M39,CD8_G,5,CD8_G
E2_P1_M39,CD8_B,9,CD8_B
E2_P3_M39,CD8_B,9,CD8_B
E2_P4_M39,CD8_B,9,CD8_B
E3_P3_M39,CD8_G,5,NA
E4_P1_M39,CD8_B,9,CD8_B
E4_P2_M39,CD8_B,6,CD8_B
E5_P2_M39,CD8_G,5,CD8_G
E5_P4_M39,CD8_G,8,NA
E6_P1_M39,CD8_B,9,CD8_B
E6_P3_M39,CD8_B,2,CD8_B
E7_P1_M39,CD8_B,6,CD8_B
E7_P2_M39,CD8_B,9,CD8_B
E7_P4_M39,CD8_G,2,CD8_G
E8_P1_M39,CD8_B,11,CD8_B
E8_P2_M39,CD8_G,9,NA
E8_P3_M39,CD8_G,9,CD8_G
E9_P2_M39,CD8_B,9,CD8_B
E9_P4_M39,CD8_G,8,NA
F10_P3_M39,CD8_G,8,CD8_G
F11_P1_M39,CD8_G,8,CD8_G
F11_P3_M39,CD8_G,9,CD8_G
F11_P4_M39,CD8_B,9,CD8_B
F12_P2_M39,CD8_B,6,CD8_B
F12_P4_M39,CD8_G,8,NA
F1_P1_M39,CD8_B,6,CD8_B
F1_P2_M39,CD8_B,11,CD8_B
F1_P4_M39,CD8_B,11,CD8_B
F2_P2_M39,CD8_G,5,CD8_G
F3_P1_M39,CD8_B,9,CD8_B
F4_P1_M39,CD8_G,8,NA
F4_P2_M39,CD8_B,9,CD8_B
F4_P3_M39,CD8_B,6,CD8_B
F4_P4_M39,CD8_B,9,CD8_B
F5_P2_M39,CD8_B,6,CD8_B
F6_P1_M39,CD8_B,9,CD8_B
F6_P3_M39,CD8_B,2,NA
F6_P4_M39,CD8_G,8,CD8_G
F7_P1_M39,CD8_B,9,CD8_B
F7_P2_M39,CD8_B,9,CD8_B
F7_P4_M39,CD8_B,11,CD8_B
F8_P1_M39,CD8_B,9,CD8_B
F8_P2_M39,CD8_B,6,CD8_B
F9_P2_M39,CD8_G,10,CD8_G
G10_P2_M39,CD8_G,5,CD8_G
G10_P3_M39,CD8_B,9,CD8_B
G10_P4_M39,CD8_G,8,NA
G11_P1_M39,CD8_B,9,CD8_B
G11_P3_M39,CD8_G,9,CD8_G
G12_P3_M39,CD8_B,9,CD8_B
G1_P2_M39,CD8_B,11,CD8_B
G1_P3_M39,CD8_G,8,NA
G2_P3_M39,CD8_G,8,CD8_G
G4_P3_M39,CD8_B,9,CD8_B
G5_P2_M39,CD8_B,6,CD8_B
G6_P1_M39,CD8_G,9,NA
G6_P2_M39,CD8_B,9,CD8_B
G7_P1_M39,CD8_G,5,CD8_G
G7_P3_M39,CD8_G,9,NA
G8_P1_M39,CD8_G,5,NA
G8_P2_M39,CD8_B,6,CD8_B
G8_P3_M39,CD8_G,5,CD8_G
G9_P2_M39,CD8_B,9,CD8_B
G9_P3_M39,CD8_B,9,CD8_B
H10_P1_M39,CD8_B,9,CD8_B
H10_P2_M39,CD8_B,9,CD8_B
H10_P3_M39,CD8_B,6,CD8_B
H11_P2_M39,CD8_B,6,CD8_B
H11_P3_M39,CD8_G,9,CD8_G
H11_P4_M39,CD8_G,6,NA
H12_P1_M39,CD8_B,11,CD8_B
H1_P2_M39,CD8_B,9,CD8_B
H1_P3_M39,CD8_G,9,NA
H1_P4_M39,CD8_B,9,CD8_B
H2_P2_M39,CD8_B,6,CD8_B
H3_P1_M39,CD8_B,11,CD8_B
H3_P4_M39,CD8_G,9,NA
H4_P2_M39,CD8_G,5,CD8_G
H4_P3_M39,CD8_B,6,CD8_B
H4_P4_M39,CD8_B,6,NA
H5_P1_M39,CD8_B,9,CD8_B
H5_P4_M39,CD8_B,9,CD8_B
H6_P2_M39,CD8_B,9,CD8_B
H6_P4_M39,CD8_G,9,CD8_G
H7_P1_M39,CD8_B,6,CD8_B
H7_P2_M39,CD8_B,9,CD8_B
H7_P3_M39,CD8_B,9,CD8_B
H8_P1_M39,CD8_B,9,CD8_B
H8_P2_M39,CD8_B,6,CD8_B
H8_P3_M39,CD8_G,5,CD8_G
H9_P2_M39,CD8_G,10,CD8_G
A10_P6_M17,CD8_G,5,CD8_G
A11_P2_M17,CD8_G,10,CD8_G
A11_P6_M17,CD8_G,5,CD8_G
A12_P5_M17,CD8_B,9,CD8_B
A12_P6_M17,CD8_G,5,CD8_G
A2_P2_M17,CD8_G,8,CD8_G
A2_P5_M17,CD8_B,9,CD8_B
A2_P6_M17,CD8_G,8,CD8_G
A3_P6_M17,CD8_G,5,CD8_G
A4_P5_M17,CD8_G,5,CD8_G
A6_P6_M17,CD8_G,5,CD8_G
A7_P2_M17,CD8_G,9,NA
A7_P6_M17,CD8_G,5,CD8_G
B12_P5_M17,CD8_G,5,CD8_G
B12_P6_M17,CD8_G,5,CD8_G
B1_P6_M17,CD8_G,5,CD8_G
B2_P5_M17,CD8_G,5,CD8_G
B3_P6_M17,CD8_G,5,CD8_G
B5_P6_M17,CD8_G,5,CD8_G
B9_P6_M17,CD8_G,5,CD8_G
C10_P1_M17,CD8_G,8,CD8_G
C10_P5_M17,CD8_G,9,CD8_G
C10_P6_M17,CD8_G,5,CD8_G
C11_P2_M17,CD8_G,5,CD8_G
C12_P6_M17,CD8_G,5,CD8_G
C1_P6_M17,CD8_G,5,CD8_G
C2_P2_M17,CD8_G,10,CD8_G
C2_P5_M17,CD8_G,5,CD8_G
C3_P6_M17,CD8_G,5,CD8_G
C4_P5_M17,CD8_G,9,CD8_G
C5_P2_M17,CD8_G,8,CD8_G
C5_P5_M17,CD8_B,11,CD8_B
C5_P6_M17,CD8_G,9,CD8_G
C6_P2_M17,CD8_G,5,CD8_G
C6_P5_M17,CD8_G,9,CD8_G
C8_P5_M17,CD8_G,5,CD8_G
C9_P6_M17,CD8_G,5,CD8_G
D10_P6_M17,CD8_G,5,CD8_G
D11_P2_M17,CD8_G,8,CD8_G
D11_P5_M17,CD8_G,5,CD8_G
D2_P5_M17,CD8_G,5,NA
D2_P6_M17,CD8_B,9,NA
D4_P1_M17,CD8_G,10,CD8_G
D8_P1_M17,CD8_G,10,CD8_G
D8_P2_M17,CD8_G,10,CD8_G
D9_P5_M17,CD8_G,9,NA
E10_P2_M17,CD8_G,10,CD8_G
E10_P5_M17,CD8_G,5,CD8_G
E11_P6_M17,CD8_G,9,CD8_G
E12_P6_M17,CD8_B,8,CD8_B
E1_P1_M17,CD8_B,8,CD8_B
E1_P5_M17,CD8_G,5,CD8_G
E1_P6_M17,CD8_B,9,CD8_B
E2_P5_M17,CD8_G,5,CD8_G
E3_P5_M17,CD8_G,5,CD8_G
E4_P1_M17,CD8_G,8,CD8_G
E6_P2_M17,CD8_G,10,NA
E6_P5_M17,CD8_G,9,CD8_G
F11_P6_M17,CD8_G,9,CD8_G
F1_P5_M17,CD8_G,9,CD8_G
F2_P5_M17,CD8_G,9,CD8_G
F4_P5_M17,CD8_G,5,CD8_G
F5_P6_M17,CD8_G,5,CD8_G
F8_P5_M17,CD8_G,5,CD8_G
G10_P6_M17,CD8_G,5,CD8_G
G11_P1_M17,CD8_G,10,CD8_G
G11_P5_M17,CD8_G,9,CD8_G
G12_P2_M17,CD8_G,8,CD8_G
G12_P6_M17,CD8_G,5,CD8_G
G1_P2_M17,CD8_G,10,CD8_G
G1_P5_M17,CD8_G,10,CD8_G
G2_P1_M17,CD8_G,8,CD8_G
G2_P2_M17,CD8_G,10,CD8_G
G2_P5_M17,CD8_G,5,CD8_G
G3_P2_M17,CD8_G,10,CD8_G
G4_P1_M17,CD8_G,8,CD8_G
G4_P5_M17,CD8_G,5,CD8_G
G7_P2_M17,CD8_G,5,CD8_G
G7_P6_M17,CD8_G,5,CD8_G
G8_P2_M17,CD8_G,8,CD8_G
G8_P5_M17,CD8_G,9,NA
G8_P6_M17,CD8_G,5,CD8_G
G9_P1_M17,CD8_G,8,CD8_G
G9_P2_M17,CD8_G,8,CD8_G
H10_P2_M17,CD8_G,8,CD8_G
H10_P6_M17,CD8_G,5,CD8_G
H11_P2_M17,CD8_G,5,CD8_G
H11_P5_M17,CD8_G,5,CD8_G
H12_P1_M17,CD8_G,10,CD8_G
H12_P2_M17,CD8_G,5,CD8_G
H12_P5_M17,CD8_G,8,CD8_G
H6_P5_M17,CD8_G,9,NA
H6_P6_M17,CD8_G,5,CD8_G
H7_P5_M17,CD8_G,9,CD8_G
H9_P1_M17,CD8_G,10,CD8_G
A10_P3_M23,CD8_G,8,NA
A10_P4_M23,CD8_G,10,CD8_G
A11_P1_M23,CD8_G,8,CD8_G
A11_P2_M23,CD8_G,5,CD8_G
A11_P4_M23,CD8_G,5,CD8_G
A12_P4_M23,CD8_G,5,CD8_G
A4_P2_M23,CD8_G,5,CD8_G
A5_P2_M23,CD8_G,8,NA
A6_P1_M23,CD8_G,8,CD8_G
A6_P3_M23,CD8_G,9,CD8_G
A8_P1_M23,CD8_B,6,CD8_B
A9_P3_M23,CD8_B,9,CD8_B
A9_P4_M23,CD8_G,5,CD8_G
B10_P4_M23,CD8_G,5,CD8_G
B11_P4_M23,CD8_G,5,CD8_G
B12_P1_M23,CD8_G,5,CD8_G
B12_P2_M23,CD8_G,8,NA
B12_P3_M23,CD8_B,9,CD8_B
B1_P2_M23,CD8_G,5,CD8_G
B1_P4_M23,CD8_B,6,CD8_B
B3_P4_M23,CD8_G,8,CD8_G
B4_P2_M23,CD8_G,5,CD8_G
B5_P1_M23,CD8_G,8,CD8_G
B6_P3_M23,CD8_G,8,CD8_G
B7_P4_M23,CD8_B,9,CD8_B
B8_P2_M23,CD8_G,5,CD8_G
B9_P1_M23,CD8_B,11,CD8_B
B9_P2_M23,CD8_G,5,CD8_G
B9_P3_M23,CD8_G,8,CD8_G
B9_P4_M23,CD8_B,6,CD8_B
C10_P1_M23,CD8_G,10,CD8_G
C10_P2_M23,CD8_G,5,CD8_G
C10_P4_M23,CD8_G,8,CD8_G
C11_P1_M23,CD8_B,9,CD8_B
C12_P1_M23,CD8_G,5,CD8_G
C12_P2_M23,CD8_G,8,CD8_G
C1_P1_M23,CD8_G,5,CD8_G
C1_P3_M23,CD8_G,5,NA
C2_P1_M23,CD8_G,5,CD8_G
C2_P4_M23,CD8_B,7,CD8_B
C3_P1_M23,CD8_G,5,NA
C3_P2_M23,CD8_G,8,CD8_G
C3_P3_M23,CD8_G,9,NA
C4_P3_M23,CD8_G,5,CD8_G
C4_P4_M23,CD8_B,8,CD8_B
C5_P3_M23,CD8_G,5,CD8_G
C6_P4_M23,CD8_G,5,CD8_G
C7_P2_M23,CD8_G,5,CD8_G
C7_P4_M23,CD8_G,9,CD8_G
C8_P1_M23,CD8_G,8,CD8_G
C9_P1_M23,CD8_G,5,CD8_G
D10_P1_M23,CD8_B,6,CD8_B
D10_P4_M23,CD8_G,5,CD8_G
D11_P1_M23,CD8_G,8,CD8_G
D12_P4_M23,CD8_G,8,CD8_G
D1_P1_M23,CD8_B,9,CD8_B
D1_P2_M23,CD8_G,5,CD8_G
D1_P4_M23,CD8_B,8,CD8_B
D2_P1_M23,CD8_G,5,CD8_G
D3_P3_M23,CD8_G,5,CD8_G
D4_P4_M23,CD8_B,9,CD8_B
D6_P1_M23,CD8_G,5,CD8_G
D6_P2_M23,CD8_G,5,CD8_G
D7_P2_M23,CD8_G,5,CD8_G
D8_P3_M23,CD8_G,5,CD8_G
D8_P4_M23,CD8_G,5,CD8_G
D9_P1_M23,CD8_B,11,CD8_B
D9_P3_M23,CD8_G,5,CD8_G
D9_P4_M23,CD8_B,6,CD8_B
E10_P1_M23,CD8_G,6,NA
E10_P4_M23,CD8_B,8,CD8_B
E12_P1_M23,CD8_G,5,CD8_G
E12_P2_M23,CD8_G,5,CD8_G
E12_P4_M23,CD8_G,5,CD8_G
E1_P3_M23,CD8_G,5,CD8_G
E3_P3_M23,CD8_G,5,CD8_G
E3_P4_M23,CD8_G,8,CD8_G
E4_P2_M23,CD8_B,11,CD8_B
E4_P4_M23,CD8_G,8,CD8_G
E5_P1_M23,CD8_G,5,CD8_G
E5_P4_M23,CD8_G,5,CD8_G
E6_P1_M23,CD8_G,8,CD8_G
E6_P2_M23,CD8_B,6,CD8_B
E6_P3_M23,CD8_G,5,CD8_G
E7_P1_M23,CD8_G,9,CD8_G
E7_P3_M23,CD8_G,5,CD8_G
E7_P4_M23,CD8_G,8,CD8_G
E8_P2_M23,CD8_B,8,CD8_B
E9_P1_M23,CD8_G,5,CD8_G
F10_P1_M23,CD8_G,10,CD8_G
F10_P3_M23,CD8_G,8,CD8_G
F12_P1_M23,CD8_G,5,CD8_G
F12_P3_M23,CD8_G,8,CD8_G
F1_P4_M23,CD8_G,5,CD8_G
F2_P1_M23,CD8_G,9,NA
F2_P3_M23,CD8_G,5,CD8_G
F3_P2_M23,CD8_G,5,CD8_G
F4_P1_M23,CD8_G,8,CD8_G
F4_P2_M23,CD8_G,8,CD8_G
F4_P4_M23,CD8_B,9,CD8_B
F5_P1_M23,CD8_G,9,NA
F5_P2_M23,CD8_B,6,CD8_B
F5_P3_M23,CD8_G,8,NA
F5_P4_M23,CD8_G,8,CD8_G
F6_P4_M23,CD8_B,9,CD8_B
F7_P2_M23,CD8_G,5,CD8_G
F7_P4_M23,CD8_B,11,CD8_B
F8_P1_M23,CD8_B,11,CD8_B
F8_P2_M23,CD8_G,8,CD8_G
F8_P4_M23,CD8_G,5,CD8_G
F9_P1_M23,CD8_B,6,CD8_B
F9_P3_M23,CD8_G,10,CD8_G
F9_P4_M23,CD8_G,8,CD8_G
G10_P3_M23,CD8_B,9,CD8_B
G10_P4_M23,CD8_G,8,CD8_G
G12_P2_M23,CD8_G,8,CD8_G
G1_P4_M23,CD8_B,6,CD8_B
G2_P2_M23,CD8_G,5,CD8_G
G3_P1_M23,CD8_G,5,CD8_G
G3_P2_M23,CD8_B,9,CD8_B
G3_P3_M23,CD8_G,8,CD8_G
G3_P4_M23,CD8_G,5,CD8_G
G4_P1_M23,CD8_G,8,CD8_G
G4_P2_M23,CD8_G,5,CD8_G
G4_P4_M23,CD8_B,6,CD8_B
G5_P1_M23,CD8_G,8,NA
G5_P2_M23,CD8_B,11,CD8_B
G5_P3_M23,CD8_G,8,CD8_G
G7_P1_M23,CD8_G,8,CD8_G
G7_P4_M23,CD8_G,9,CD8_G
G8_P1_M23,CD8_G,5,CD8_G
G9_P2_M23,CD8_G,5,CD8_G
G9_P3_M23,CD8_B,9,CD8_B
H10_P1_M23,CD8_G,6,NA
H10_P2_M23,CD8_G,5,CD8_G
H10_P4_M23,CD8_G,8,CD8_G
H11_P1_M23,CD8_G,5,CD8_G
H11_P2_M23,CD8_G,8,CD8_G
H11_P3_M23,CD8_G,9,CD8_G
H1_P2_M23,CD8_G,8,CD8_G
H1_P3_M23,CD8_B,8,CD8_B
H1_P4_M23,CD8_B,6,CD8_B
H2_P2_M23,CD8_G,5,CD8_G
H3_P4_M23,CD8_G,5,CD8_G
H4_P1_M23,CD8_B,9,CD8_B
H4_P4_M23,CD8_B,6,CD8_B
H5_P3_M23,CD8_B,6,CD8_B
H7_P3_M23,CD8_G,5,CD8_G
H7_P4_M23,CD8_G,9,CD8_G
H8_P2_M23,CD8_G,9,CD8_G
H9_P1_M23,CD8_G,8,CD8_G
H9_P3_M23,CD8_B,9,CD8_B
A10_P6_M36_L001,CD8_G,5,CD8_G
A10_P7_M36_L001,CD8_G,5,CD8_G
A10_P8_M36_L001,CD8_B,11,CD8_B
A10_P9_M36_L001,CD8_B,11,CD8_B
A11_P7_M36_L001,CD8_G,5,CD8_G
A11_P8_M36_L001,CD8_G,5,CD8_G
A11_P9_M36_L001,CD8_G,5,CD8_G
A12_P8_M36_L001,CD8_G,5,CD8_G
A12_P9_M36_L001,CD8_G,5,CD8_G
A2_P7_M36_L001,CD8_G,5,CD8_G
A3_P6_M36_L001,CD8_G,5,CD8_G
A3_P8_M36_L001,CD8_G,5,CD8_G
A3_P9_M36_L001,CD8_G,5,CD8_G
A4_P7_M36_L001,CD8_G,5,CD8_G
A4_P8_M36_L001,CD8_G,5,CD8_G
A4_P9_M36_L001,CD8_G,5,CD8_G
A5_P6_M36_L001,CD8_G,5,CD8_G
A5_P8_M36_L001,CD8_G,5,CD8_G
A5_P9_M36_L001,CD8_G,5,CD8_G
A7_P6_M36_L001,CD8_G,5,CD8_G
A7_P8_M36_L001,CD8_G,5,CD8_G
A7_P9_M36_L001,CD8_G,5,CD8_G
A8_P7_M36_L001,CD8_G,5,CD8_G
A8_P8_M36_L001,CD8_G,5,CD8_G
A8_P9_M36_L001,CD8_G,5,CD8_G
A9_P6_M36_L001,CD8_G,5,CD8_G
A9_P7_M36_L001,CD8_G,5,CD8_G
A9_P8_M36_L001,CD8_G,5,CD8_G
A9_P9_M36_L001,CD8_G,5,CD8_G
B10_P6_M36_L001,CD8_G,5,CD8_G
B10_P8_M36_L001,CD8_G,5,CD8_G
B11_P7_M36_L001,CD8_B,9,CD8_B
B11_P8_M36_L001,CD8_B,9,CD8_B
B11_P9_M36_L001,CD8_G,5,CD8_G
B12_P6_M36_L001,CD8_G,5,CD8_G
B12_P7_M36_L001,CD8_B,9,CD8_B
B1_P6_M36_L001,CD8_G,5,NA
B1_P7_M36_L001,CD8_G,8,CD8_G
B1_P8_M36_L001,CD8_G,5,CD8_G
B2_P6_M36_L001,CD8_B,9,CD8_B
B2_P7_M36_L001,CD8_G,5,CD8_G
B2_P9_M36_L001,CD8_G,5,CD8_G
B3_P6_M36_L001,CD8_G,5,CD8_G
B3_P7_M36_L001,CD8_G,5,CD8_G
B4_P7_M36_L001,CD8_G,9,CD8_G
B6_P6_M36_L001,CD8_G,5,CD8_G
B6_P7_M36_L001,CD8_G,5,CD8_G
B6_P8_M36_L001,CD8_G,5,CD8_G
B6_P9_M36_L001,CD8_G,5,CD8_G
B7_P6_M36_L001,CD8_G,5,CD8_G
B7_P8_M36_L001,CD8_G,5,CD8_G
B7_P9_M36_L001,CD8_B,9,CD8_B
B8_P6_M36_L001,CD8_G,7,CD8_G
B8_P7_M36_L001,CD8_G,5,CD8_G
B8_P8_M36_L001,CD8_G,5,CD8_G
B9_P7_M36_L001,CD8_G,5,CD8_G
B9_P8_M36_L001,CD8_G,5,CD8_G
B9_P9_M36_L001,CD8_G,5,CD8_G
C10_P8_M36_L001,CD8_G,5,CD8_G
C10_P9_M36_L001,CD8_B,9,CD8_B
C11_P6_M36_L001,CD8_B,11,CD8_B
C11_P8_M36_L001,CD8_G,5,CD8_G
C11_P9_M36_L001,CD8_G,5,CD8_G
C12_P6_M36_L001,CD8_G,5,CD8_G
C12_P7_M36_L001,CD8_G,5,CD8_G
C12_P8_M36_L001,CD8_G,5,CD8_G
C1_P6_M36_L001,CD8_G,5,CD8_G
C1_P7_M36_L001,CD8_G,5,CD8_G
C1_P9_M36_L001,CD8_G,5,CD8_G
C3_P7_M36_L001,CD8_G,6,CD8_G
C3_P9_M36_L001,CD8_G,5,CD8_G
C4_P7_M36_L001,CD8_G,8,CD8_G
C4_P8_M36_L001,CD8_G,5,CD8_G
C5_P7_M36_L001,CD8_G,5,CD8_G
C5_P9_M36_L001,CD8_G,5,CD8_G
C6_P6_M36_L001,CD8_G,5,CD8_G
C6_P8_M36_L001,CD8_G,5,CD8_G
C6_P9_M36_L001,CD8_G,5,CD8_G
C7_P9_M36_L001,CD8_G,5,CD8_G
C8_P6_M36_L001,CD8_G,5,CD8_G
C8_P7_M36_L001,CD8_G,5,CD8_G
C8_P9_M36_L001,CD8_G,5,CD8_G
C9_P6_M36_L001,CD8_G,5,CD8_G
C9_P9_M36_L001,CD8_G,5,CD8_G
D10_P6_M36_L001,CD8_G,5,CD8_G
D10_P7_M36_L001,CD8_G,5,CD8_G
D10_P8_M36_L001,CD8_G,5,CD8_G
D10_P9_M36_L001,CD8_G,5,CD8_G
D11_P6_M36_L001,CD8_G,5,CD8_G
D12_P6_M36_L001,CD8_G,5,CD8_G
D12_P9_M36_L001,CD8_G,5,CD8_G
D1_P6_M36_L001,CD8_G,5,CD8_G
D1_P7_M36_L001,CD8_G,5,CD8_G
D1_P8_M36_L001,CD8_G,5,CD8_G
D2_P7_M36_L001,CD8_G,5,CD8_G
D2_P8_M36_L001,CD8_G,5,CD8_G
D2_P9_M36_L001,CD8_G,9,CD8_G
D3_P6_M36_L001,CD8_G,5,CD8_G
D3_P7_M36_L001,CD8_G,5,CD8_G
D3_P8_M36_L001,CD8_G,5,CD8_G
D3_P9_M36_L001,CD8_G,5,CD8_G
D4_P6_M36_L001,CD8_G,5,CD8_G
D5_P6_M36_L001,CD8_G,5,CD8_G
D5_P7_M36_L001,CD8_G,5,CD8_G
D5_P8_M36_L001,CD8_G,5,CD8_G
D5_P9_M36_L001,CD8_G,5,CD8_G
D6_P7_M36_L001,CD8_G,9,CD8_G
D6_P8_M36_L001,CD8_G,9,CD8_G
D6_P9_M36_L001,CD8_G,8,CD8_G
D7_P6_M36_L001,CD8_G,5,CD8_G
D7_P7_M36_L001,CD8_G,5,CD8_G
D9_P6_M36_L001,CD8_G,5,CD8_G
D9_P7_M36_L001,CD8_G,5,CD8_G
D9_P8_M36_L001,CD8_G,5,CD8_G
D9_P9_M36_L001,CD8_G,5,CD8_G
